trial_number,score,avg_pnl,avg_sharpe,avg_inventory_penalty,TOM_FAIR_ALPHA,TOM_PRESSURE_BETA,TOM_TAKE_EDGE,TOM_PASSIVE_EDGE
0,-385.0000452151052,-385.0,-0.00045215105195889566,0.0,0.18108904159657688,1.4408571676918993,1.9639878836228102,1
1,2345.000253642462,2345.0,0.0025364246219990332,0.0,0.10460652415485279,0.48719342440344315,0.6161672243363989,2
2,662.0000752482666,662.0,0.0007524826657622917,0.0,0.2603902541101231,1.1496870933552545,0.5411689885916049,2
3,-547.0000644976913,-547.0,-0.0006449769124564157,0.0,0.34135492428014763,0.5548069328139313,0.8636499344142012,0
4,537.0000579170973,537.0,0.0005791709727796027,0.0,0.1564847850358382,0.9297077179586853,1.3638900372842315,0
5,-19.22131472812495,-19.0,-2.2131472812494963,0.0,0.26414851315283283,0.4673926327824502,1.0842892970704363,1
6,399.0000440992881,399.0,0.00044099288127094914,0.0,0.2096244944759626,1.2422111536716163,0.8993475643167195,1
7,-414.00005120600974,-414.0,-0.0005120600976367004,0.0,0.2573450991017149,0.35574049526399726,1.7150897038028767,0
8,169.00001765816862,169.0,0.00017658168602830308,0.0,0.07276805754484783,1.4386626447039998,2.4312640661491187,2
9,-140.0000158262646,-140.0,-0.00015826264589353223,0.0,0.15661481921067974,0.4172065368076606,1.8684660530243138,1
10,2609.0002743926807,2609.0,0.0027439268083320886,0.0,0.05757769671514279,0.7364732083459572,0.5150946386325864,2
11,2810.0002953202616,2810.0,0.002953202617299931,0.0,0.05537870806483652,0.7126410529356179,0.5295243903251974,2
12,2455.00025890758,2455.0,0.0025890757970682,0.0,0.06202371263217788,0.7400881516578978,1.2775112562716173,2
13,2617.0002850495944,2617.0,0.002850495944441126,0.0,0.11154141259666939,0.7417569129359611,0.5619067360890851,2
14,2100.0002250122916,2100.0,0.0022501229166638076,0.0,0.10601884679704336,0.884947305751431,0.8541152851256217,2
15,1742.0001891103352,1742.0,0.001891103352622453,0.0,0.11709610990791855,0.6861206131203177,1.0147649119267588,2
